raceId,driverId,pos,laps,time
2003-9,ralf-schumacher,1,11,91305
2003-9,juan-pablo-montoya,2,15,91366
2003-9,olivier-panis,3,18,91490
2003-9,david-coulthard,4,16,91608
2003-9,kimi-raikkonen,5,13,92021
2003-9,cristiano-da-matta,6,22,92057
2003-9,jarno-trulli,7,20,92356
2003-9,fernando-alonso,8,18,92391
2003-9,michael-schumacher,9,21,92652
2003-9,r-barrichello,10,16,93010
2003-9,antonio-pizzonia,11,18,93076
2003-9,giancarlo-fisichella,12,20,93214
2003-9,jenson-button,13,12,93474
2003-9,mark-webber,14,18,93635
2003-9,nick-heidfeld,15,22,93698
2003-9,jacques-villeneuve,16,13,94085
2003-9,ralph-firman,17,4,94827
2003-9,heinz-harald-frentzen,18,20,94940
2003-9,justin-wilson,19,10,96026
2003-9,jos-verstappen,20,9,96381
2003-10,ralf-schumacher,1,17,74966
2003-10,juan-pablo-montoya,2,17,75577
2003-10,david-coulthard,3,14,75600
2003-10,michael-schumacher,4,19,75918
2003-10,kimi-raikkonen,5,14,76012
2003-10,fernando-alonso,6,20,76039
2003-10,mark-webber,7,24,76112
2003-10,olivier-panis,8,17,76133
2003-10,r-barrichello,9,18,76345
2003-10,jarno-trulli,10,22,76376
2003-10,antonio-pizzonia,11,25,77036
2003-10,jacques-villeneuve,12,21,77101
2003-10,cristiano-da-matta,13,22,77690
2003-10,heinz-harald-frentzen,14,23,77776
2003-10,jenson-button,15,3,77808
2003-10,giancarlo-fisichella,16,21,77908
2003-10,nick-heidfeld,17,25,78057
2003-10,ralph-firman,18,17,78670
2003-10,jos-verstappen,19,8,78696
2003-10,justin-wilson,20,18,79044
2003-11,juan-pablo-montoya,1,12,81415
2003-11,r-barrichello,2,18,81587
2003-11,michael-schumacher,3,15,81608
2003-11,ralf-schumacher,4,13,81711
2003-11,olivier-panis,5,17,82257
2003-11,david-coulthard,6,15,82317
2003-11,jarno-trulli,7,23,82332
2003-11,kimi-raikkonen,8,15,82400
2003-11,fernando-alonso,9,16,82462
2003-11,cristiano-da-matta,10,18,82614
2003-11,mark-webber,11,20,82910
2003-11,jacques-villeneuve,12,4,83326
2003-11,jenson-button,13,21,83455
2003-11,heinz-harald-frentzen,14,19,83620
